ID,SKU,Name,"Sale price","Regular price",Categories,Images
5726,AB090-A,"Polar G-Series Countertop Prep Fridge - 6 x GN 1/4",987.36,1210.00,"Refrigeration and Ice Machines > Fridges > Countertop Fridges, Brands > Polar","https://fridgesandmore.com.au/wp-content/uploads/2023/01/ab090_countertopfridge3-1.jpg, https://fridgesandmore.com.au/wp-content/uploads/2023/01/ab090_countertopfridge4-1.jpg"
5728,AB395,"Bucket & Handle Red - part 1 of 3 (S222)",22.85,28.00,"Brands > Jantex, Cleaning & Hygiene > Cleaning Supplies > Mop Buckets and Wringers",https://fridgesandmore.com.au/wp-content/uploads/2023/01/ab395_red-bucket-1.jpg
5730,AB396,"Conical Wringer Red - part 2 of 3 (S222)",8.98,11.00,"Brands > Jantex, Cleaning & Hygiene > Cleaning Supplies > Mop Buckets and Wringers",https://fridgesandmore.com.au/wp-content/uploads/2023/01/ab396_wringer-red-1.jpg
5731,AB397,"Rectangular Sieve - part 3 of 3",4.90,6.00,"Tableware & Bar Supplies > Cutlery > Olympia Cutlery > Henley 18/0 Cutlery, Brands > Olympia",
5733,AB398,"Bucket & Handle Yellow - part 1 of 3 (S223)",22.85,28.00,"Brands > Jantex, Cleaning & Hygiene > Cleaning Supplies > Mop Buckets and Wringers",https://fridgesandmore.com.au/wp-content/uploads/2023/01/ab398_yellow-bucket-1.jpg
5734,AB399,"Conical Wringer Yellow - part 2 of 3 (S223)",8.98,11.00,"Brands > Olympia, Tableware & Bar Supplies > Crockery > Melamine and Polycarbonate Crockery > Polycarbonate Crockery",https://fridgesandmore.com.au/wp-content/uploads/2023/01/ab399_wringer-yellow.jpg
5736,AB401,"Bucket & Handle Green - part 1 of 3 (S224)",22.85,28.00,"Brands > Jantex, Cleaning & Hygiene > Cleaning Supplies > Mop Buckets and Wringers",https://fridgesandmore.com.au/wp-content/uploads/2023/01/ab401_bucket-green-1.jpg
5738,AB402,"Conical Wringer Green - part 2 of 3 (S224)",8.98,11.00,"Brands > Jantex, Cleaning & Hygiene > Cleaning Supplies > Mop Buckets and Wringers",https://fridgesandmore.com.au/wp-content/uploads/2023/01/ab402_wringer-green-1.jpg
5742,AC856,"Spare Leg Support Bars for CC506 Round Table",4.90,6.00,"Brands > Bolero, Commercial Kitchen Machines > Spares & Accessories > Bolero Spares and Accessories",https://fridgesandmore.com.au/wp-content/uploads/2023/01/ac856_y_leg-1.jpg
5748,AE864,"Dark Brown PU Swatch for Dining Chairs GF955 GF957",1.00,1.20,"Brands > Bolero, Commercial Kitchen Machines > Spares & Accessories > Bolero Spares and Accessories",https://fridgesandmore.com.au/wp-content/uploads/2023/01/ae864_ji-1.jpg
5755,C042,"Olympia Whiteware Round Pie Dish - 53Hx134Wx134mmD (Box 6)",26.93,33.00,"Brands > Olympia, Tableware & Bar Supplies > Crockery > Olympia Whiteware > Whiteware","https://fridgesandmore.com.au/wp-content/uploads/2023/01/c042_2-olympia-ww-b2.jpg, https://fridgesandmore.com.au/wp-content/uploads/2023/01/c042_crockery.jpg, https://fridgesandmore.com.au/wp-content/uploads/2023/01/c042_crockery2.jpg, https://fridgesandmore.com.au/wp-content/uploads/2023/01/c042_ls.jpg, https://fridgesandmore.com.au/wp-content/uploads/2023/01/c042_-olympia-ww-g-b2.jpg, https://fridgesandmore.com.au/wp-content/uploads/2023/01/c042_olympiaa-ww-b2.jpg, https://fridgesandmore.com.au/wp-content/uploads/2023/01/c042_2-olympia-ww-b2.jpg"
5766,C162,"EDLP - Olympia Kristallon Anti-Slip Plastic Oval Tray Black - 686x560mm 27x22""",17.95,22.00,"Tableware & Bar Supplies > Service Trays > Anti Slip Trays and Stands, Brands > Olympia","https://fridgesandmore.com.au/wp-content/uploads/2023/01/c162_withglasses-1.jpg, https://fridgesandmore.com.au/wp-content/uploads/2023/01/c162_detailwater-1.jpg, https://fridgesandmore.com.au/wp-content/uploads/2023/01/c162_detail-1.jpg, https://fridgesandmore.com.au/wp-content/uploads/2023/01/c162_angle-1.jpg, https://fridgesandmore.com.au/wp-content/uploads/2023/01/c162_traynew-3-1.jpg, https://fridgesandmore.com.au/wp-content/uploads/2023/01/c162_traydiagram.jpg, https://fridgesandmore.com.au/wp-content/uploads/2023/01/c162_above-1.jpg, https://fridgesandmore.com.au/wp-content/uploads/2023/01/c162_withglassesandhand-1.jpg, https://fridgesandmore.com.au/wp-content/uploads/2023/01/c162_withglasses-1.jpg"
5771,C163,"EDLP - Chrome Folding Tray Stand",55.49,68.00,"Tableware & Bar Supplies > Service Trays > Anti Slip Trays and Stands, Brands > Olympia","https://fridgesandmore.com.au/wp-content/uploads/2023/01/c163_traystandnew-2.jpg, https://fridgesandmore.com.au/wp-content/uploads/2023/01/c163_traystandnew-3.jpg, https://fridgesandmore.com.au/wp-content/uploads/2023/01/c162_c163_chrome_tray_stand-1.jpg, https://fridgesandmore.com.au/wp-content/uploads/2023/01/c163_traystandnew-5-1.jpg, https://fridgesandmore.com.au/wp-content/uploads/2023/01/c163_traystandnew-2.jpg"
5777,C164,"EDLP - Bar Liquor Pourer",2.45,3.00,"Brands > Olympia, Tableware & Bar Supplies > Bar Supplies > Spirit Dispensers and Measures > Spirit Pourers and Juice Containers","https://fridgesandmore.com.au/wp-content/uploads/2023/01/c164_new-6687.jpg, https://fridgesandmore.com.au/wp-content/uploads/2023/01/c164_new-6688-1.jpg, https://fridgesandmore.com.au/wp-content/uploads/2023/01/c164_new-6689.jpg, https://fridgesandmore.com.au/wp-content/uploads/2023/01/c164_new-6686.jpg, https://fridgesandmore.com.au/wp-content/uploads/2023/01/c164_new-6685.jpg, https://fridgesandmore.com.au/wp-content/uploads/2023/01/c164_new-6687.jpg"
